 ticker       |         listed_at
 BTMX-0327         | 2019-12-09 19:56:49.209039
 DOGE-20191227     | 2019-10-22 00:14:07.373567
 BNB-20191227      | 2019-09-09 09:52:45.814116
 LTC-20191227      | 2019-09-08 16:19:20.72368
 DRGN-20191227     | 2019-10-29 04:24:51.481392
 SHIT-20190927     | 2019-07-23 06:54:25.275075
 ALT-20190927      | 2019-07-09 04:33:05.420141
 OKB-20190927      | 2019-08-22 02:20:38.128682
 ETC-PERP          | 2019-09-03 05:40:41.799648
 BCH-0327          | 2019-12-09 21:51:11.0105
 BSV-PERP          | 2019-07-05 06:09:20.292074
 BSV-0327          | 2019-12-10 02:04:27.605008
 ALGO-0327         | 2019-12-10 05:15:10.556514
 DRGN-0327         | 2019-12-11 09:14:48.46717
 LEO-0327          | 2019-12-09 19:24:44.328468
 LEO-20191227      | 2019-09-08 07:46:39.494456
 BTC-20190329      | 2019-03-05 11:57:34.216449
 ETH-20190329      | 2019-03-05 12:12:11.173169
 EOS-0327          | 2019-12-10 02:48:27.953455
 LTC-0327          | 2019-12-10 01:17:50.858546
 ALT-20191227      | 2019-09-08 13:42:27.655008
 XTZ-0327          | 2019-12-09 23:13:54.926692
 OKB-PERP          | 2019-08-22 02:28:38.974356
 EXCH-PERP         | 2019-09-03 05:41:09.767068
 TRX-PERP          | 2019-05-09 19:51:25.81652
 XRP-20191227      | 2019-09-08 13:34:07.33337
 BCH-20191227      | 2019-09-08 23:47:33.880032
 EXCH-20191227     | 2019-09-08 08:03:51.546482
 USDT-20190927     | 2019-06-09 03:28:20.687606
